name,color,top,left,font_size,R,G,B,cluster,cluster_name
chilena,#ac8915,0.5390728476821192,0.7166666666666667,102,0.6745098039215687,0.5372549019607843,0.08235294117647059,8,musica mexicana
opera metal,#c07035,0.3282484585521809,0.138,102,0.7529411764705882,0.4392156862745098,0.20784313725490197,6,modern rock
post-minimalism,#31a6ba,0.8967800867778032,0.2853333333333333,102,0.19215686274509805,0.6509803921568628,0.7294117647058823,4,classical
thai trap,#949706,0.26860013701758395,0.72,102,0.5803921568627451,0.592156862745098,0.023529411764705882,7,dance pop
vaporwave,#9186a5,0.41593971226307375,0.3453333333333333,102,0.5686274509803921,0.5254901960784314,0.6470588235294118,3,sleep
reggae uruguayo,#b38008,0.1935601735556063,0.488,102,0.7019607843137254,0.5019607843137255,0.03137254901960784,1,pop
channel pop,#759a0a,0.5340031970769582,0.512,102,0.4588235294117647,0.6039215686274509,0.0392156862745098,11,classic rock
folk metal,#d66043,0.26531171500342543,0.136,102,0.8392156862745098,0.3764705882352941,0.2627450980392157,6,modern rock
czsk emo rap,#979206,0.296003653802238,0.6493333333333333,102,0.592156862745098,0.5725490196078431,0.023529411764705882,7,dance pop
mexican pop punk,#d4690c,0.2210550353962092,0.23266666666666666,102,0.8313725490196079,0.4117647058823529,0.047058823529411764,6,modern rock
classic polish pop,#788d09,0.6505594884676867,0.4866666666666667,102,0.47058823529411764,0.5529411764705883,0.03529411764705882,11,classic rock
egyptian trap,#919419,0.46257136332496,0.6706666666666666,102,0.5686274509803921,0.5803921568627451,0.09803921568627451,8,musica mexicana
detroit trap brasileiro,#8a9d07,0.26517469741950217,0.7386666666666667,102,0.5411764705882353,0.615686274509804,0.027450980392156862,7,dance pop
gabba,#e35951,0.11226307376113268,0.39066666666666666,102,0.8901960784313725,0.34901960784313724,0.3176470588235294,13,edm
kabarett,#796703,0.7489381137245946,0.8026666666666666,102,0.4745098039215686,0.403921568627451,0.011764705882352941,9,adult standards
space rock,#a5757c,0.5069650605160996,0.22066666666666668,102,0.6470588235294118,0.4588235294117647,0.48627450980392156,3,sleep
samba de roda,#6f8f0a,0.7045444165334551,0.5746666666666667,102,0.43529411764705883,0.5607843137254902,0.0392156862745098,9,adult standards
noise rock,#c15676,0.4895181548298698,0.19066666666666668,102,0.7568627450980392,0.33725490196078434,0.4627450980392157,12,rain
smooth saxophone,#7a9874,0.4379081982187714,0.5286666666666666,102,0.47843137254901963,0.596078431372549,0.4549019607843137,3,sleep
dark techno,#c886d3,0.012925325416761817,0.816,102,0.7843137254901961,0.5254901960784314,0.8274509803921568,2,deep house
russian punk,#c26d15,0.2755880337976707,0.38066666666666665,102,0.7607843137254902,0.42745098039215684,0.08235294117647059,1,pop
r&b argentino,#85921b,0.40771865722767753,0.618,102,0.5215686274509804,0.5725490196078431,0.10588235294117647,8,musica mexicana
swedish hard rock,#d95d1d,0.280474994290934,0.16266666666666665,102,0.8509803921568627,0.36470588235294116,0.11372549019607843,6,modern rock
magyar trap,#929809,0.27841973053208496,0.6966666666666667,102,0.5725490196078431,0.596078431372549,0.03529411764705882,7,dance pop
musica costena,#aa8b09,0.5531856588262161,0.724,102,0.6666666666666666,0.5450980392156862,0.03529411764705882,8,musica mexicana
washington indie,#8f8239,0.5661109842429779,0.3413333333333333,102,0.5607843137254902,0.5098039215686274,0.2235294117647059,11,classic rock
antideutsche,#bf7513,0.2774606074446221,0.5226666666666666,102,0.7490196078431373,0.4588235294117647,0.07450980392156863,1,pop
frenchcore,#ee5a4b,0.12902489152774607,0.386,102,0.9333333333333333,0.35294117647058826,0.29411764705882354,6,modern rock
kosovan pop,#ad8607,0.28129709979447365,0.6286666666666667,102,0.6784313725490196,0.5254901960784314,0.027450980392156862,7,dance pop
kazakh hip hop,#979109,0.27029002055263757,0.7153333333333334,102,0.592156862745098,0.5686274509803921,0.03529411764705882,7,dance pop
progressive groove metal,#df5245,0.34172185430463575,0.16733333333333333,102,0.8745098039215686,0.3215686274509804,0.27058823529411763,6,modern rock
zhenskiy rep,#a39610,0.1921443251883992,0.6806666666666666,102,0.6392156862745098,0.5882352941176471,0.06274509803921569,7,dance pop
chihuahua indie,#948921,0.42215117606759534,0.45,102,0.5803921568627451,0.5372549019607843,0.12941176470588237,1,pop
piano blues,#66882e,0.8057090659968029,0.61,102,0.4,0.5333333333333333,0.1803921568627451,9,adult standards
quran,#38aa02,0.932907056405572,0.454,102,0.2196078431372549,0.6666666666666666,0.00784313725490196,0,easy listening
christian metalcore,#e3532f,0.275405343685773,0.13666666666666666,102,0.8901960784313725,0.3254901960784314,0.1843137254901961,6,modern rock
vintage italian soundtrack,#4f9a9d,0.7554236126969628,0.266,102,0.30980392156862746,0.6039215686274509,0.615686274509804,4,classical
uk pop punk,#d7660e,0.17679835578899292,0.186,102,0.8431372549019608,0.4,0.054901960784313725,6,modern rock
gothic rock,#b86b3b,0.31244576387303036,0.24,102,0.7215686274509804,0.4196078431372549,0.23137254901960785,6,modern rock
gothenburg indie,#928b38,0.4675953414021466,0.328,102,0.5725490196078431,0.5450980392156862,0.2196078431372549,5,rock
glee club,#8d8a1c,0.4176295957981274,0.39066666666666666,102,0.5529411764705883,0.5411764705882353,0.10980392156862745,1,pop
north carolina roots,#72961a,0.6687828271294817,0.4846666666666667,102,0.4470588235294118,0.5882352941176471,0.10196078431372549,11,classic rock
malaysian indie,#ab7f21,0.37424069422242523,0.34,102,0.6705882352941176,0.4980392156862745,0.12941176470588237,5,rock
new orleans jazz,#5a8472,0.8580497830554922,0.6693333333333333,102,0.35294117647058826,0.5176470588235295,0.4470588235294118,10,lo-fi beats
musica gaucha tradicionalista,#a98309,0.5899977163736013,0.6706666666666666,102,0.6627450980392157,0.5137254901960784,0.03529411764705882,8,musica mexicana
doom metal,#ba6c62,0.4776889700844942,0.11333333333333333,102,0.7294117647058823,0.4235294117647059,0.3843137254901961,12,rain
children's folk,#62940a,0.6184060287736927,0.6893333333333334,102,0.3843137254901961,0.5803921568627451,0.0392156862745098,9,adult standards
italian alternative,#948621,0.5013473395752455,0.3893333333333333,102,0.5803921568627451,0.5254901960784314,0.12941176470588237,11,classic rock
indie rock mexicano,#b08230,0.23909568394610642,0.27266666666666667,102,0.6901960784313725,0.5098039215686274,0.18823529411764706,5,rock
trap catala,#a19506,0.4144325188399178,0.718,102,0.6313725490196078,0.5843137254901961,0.023529411764705882,8,musica mexicana
piseiro,#d38f04,0.21808632107787165,0.8153333333333334,102,0.8274509803921568,0.5607843137254902,0.01568627450980392,7,dance pop
drill chileno,#9d9605,0.3177437771180635,0.7273333333333334,102,0.615686274509804,0.5882352941176471,0.0196078431372549,7,dance pop
comedy rap,#9a7c0c,0.3199817309888102,0.7573333333333333,102,0.6039215686274509,0.48627450980392156,0.047058823529411764,7,dance pop
rock andaluz,#b67a0f,0.4659054578670929,0.436,102,0.7137254901960784,0.47843137254901963,0.058823529411764705,1,pop
peruvian rock,#b17c18,0.42160310573190224,0.456,102,0.6941176470588235,0.48627450980392156,0.09411764705882353,1,pop
